09:50:39.097 [NamespaceSystem-akka.actor.default-dispatcher-5] INFO akka.event.slf4j.Slf4jLogger - Slf4jLogger started
09:50:43.977 [main] INFO com.firebase.server.forge.App$ - Listening at 127.0.0.1:9000
09:50:48.156 [FirebaseWorkerPool-1-3] WARN com.firebase.core.persistence.backend.dummy.EmulatorMetadataPersistence - Multiple projectIds are not recommended in single project mode. Requested 
namespace zero-sum-rpg-2026-default-rtdb, but the emulator is configured for fake-server. To 
opt-out of single project mode add/set the singleProjectMode: false property in 
the firebase.json emulators config. 
09:50:49.453 [NamespaceSystem-akka.actor.default-dispatcher-7] INFO com.firebase.core.namespace.NamespaceActor - fake-server successfully activated FBKV (SurveyIdle(0)) wait: 1782ms, init: 0ms
09:50:49.453 [NamespaceSystem-akka.actor.default-dispatcher-6] INFO com.firebase.core.namespace.NamespaceActor - zero-sum-rpg-2026-default-rtdb successfully activated FBKV (SurveyIdle(0)) wait: 1256ms, init: 0ms
09:50:50.392 [NamespaceSystem-blocking-namespace-operation-dispatcher-10] INFO com.firebase.core.namespace.StateManager - Namespace zero-sum-rpg-2026-default-rtdb status Active to Active
11:47:53.211 [NamespaceSystem-akka.actor.default-dispatcher-119] INFO com.firebase.core.namespace.DeadLetterResponder - Message DataPush(List(sessions, TESTIN, gameState, characters),com.firebase.util.data.SnapshotPutRenderable@1116186783) meant for other actor akka://NamespaceSystem/user/zero-sum-rpg-2026-default-rtdb/$X from akka://NamespaceSystem/deadLetters went to deadletter actor
11:47:53.221 [NamespaceSystem-akka.actor.default-dispatcher-119] INFO com.firebase.core.namespace.DeadLetterResponder - Message DataPush(List(sessions, TESTIN, gameState, characters),com.firebase.util.data.SnapshotPutRenderable@1116186783) meant for other actor akka://NamespaceSystem/user/zero-sum-rpg-2026-default-rtdb/$U from akka://NamespaceSystem/deadLetters went to deadletter actor
11:47:53.223 [NamespaceSystem-akka.actor.default-dispatcher-119] INFO com.firebase.core.namespace.DeadLetterResponder - Message DataPush(List(sessions, TESTIN, gameState, characters),com.firebase.util.data.SnapshotPutRenderable@1116186783) meant for other actor akka://NamespaceSystem/user/zero-sum-rpg-2026-default-rtdb/$V from akka://NamespaceSystem/deadLetters went to deadletter actor
11:47:53.230 [NamespaceSystem-akka.actor.default-dispatcher-119] INFO com.firebase.core.namespace.DeadLetterResponder - Message DataPush(List(sessions, TESTIN, gameState, characters),com.firebase.util.data.SnapshotPutRenderable@1116186783) meant for other actor akka://NamespaceSystem/user/zero-sum-rpg-2026-default-rtdb/$W from akka://NamespaceSystem/deadLetters went to deadletter actor
11:47:53.236 [NamespaceSystem-akka.actor.default-dispatcher-119] INFO com.firebase.core.namespace.DeadLetterResponder - Message DataPush(List(sessions, TESTIN, gameState, characters),com.firebase.util.data.SnapshotPutRenderable@1116186783) meant for other actor akka://NamespaceSystem/user/zero-sum-rpg-2026-default-rtdb/$T from akka://NamespaceSystem/deadLetters went to deadletter actor
13:56:05.638 [NamespaceSystem-akka.actor.default-dispatcher-219] INFO com.firebase.core.namespace.DeadLetterResponder - Message DataPush(List(sessions, MN44HK, gameState, characters),com.firebase.util.data.SnapshotPutRenderable@409068812) meant for other actor akka://NamespaceSystem/user/zero-sum-rpg-2026-default-rtdb/$ub from akka://NamespaceSystem/deadLetters went to deadletter actor
13:56:05.644 [NamespaceSystem-akka.actor.default-dispatcher-219] INFO com.firebase.core.namespace.DeadLetterResponder - Message DataPush(List(sessions, MN44HK, gameState, characters),com.firebase.util.data.SnapshotPutRenderable@409068812) meant for other actor akka://NamespaceSystem/user/zero-sum-rpg-2026-default-rtdb/$vb from akka://NamespaceSystem/deadLetters went to deadletter actor
13:56:23.046 [NamespaceSystem-akka.actor.default-dispatcher-229] INFO com.firebase.core.namespace.DeadLetterResponder - Message DataPush(List(sessions, Y9BOSE, gameState, characters),com.firebase.util.data.SnapshotPutRenderable@1194699567) meant for other actor akka://NamespaceSystem/user/zero-sum-rpg-2026-default-rtdb/$xb from akka://NamespaceSystem/deadLetters went to deadletter actor
13:56:23.053 [NamespaceSystem-akka.actor.default-dispatcher-229] INFO com.firebase.core.namespace.DeadLetterResponder - Message DataPush(List(sessions, Y9BOSE, gameState, characters),com.firebase.util.data.SnapshotPutRenderable@1194699567) meant for other actor akka://NamespaceSystem/user/zero-sum-rpg-2026-default-rtdb/$yb from akka://NamespaceSystem/deadLetters went to deadletter actor
13:59:24.262 [NamespaceSystem-akka.actor.default-dispatcher-216] INFO com.firebase.core.namespace.DeadLetterResponder - Message DataPush(List(sessions, 86Y20E, gameState, characters),com.firebase.util.data.SnapshotPutRenderable@417976162) meant for other actor akka://NamespaceSystem/user/zero-sum-rpg-2026-default-rtdb/$1b from akka://NamespaceSystem/deadLetters went to deadletter actor
13:59:24.264 [NamespaceSystem-akka.actor.default-dispatcher-216] INFO com.firebase.core.namespace.DeadLetterResponder - Message DataPush(List(sessions, 86Y20E, gameState, characters),com.firebase.util.data.SnapshotPutRenderable@417976162) meant for other actor akka://NamespaceSystem/user/zero-sum-rpg-2026-default-rtdb/$2b from akka://NamespaceSystem/deadLetters went to deadletter actor
14:37:04.199 [NamespaceSystem-blocking-namespace-operation-dispatcher-289] INFO com.firebase.core.namespace.StateManager - Namespace zero-sum-rpg-2026-default-rtdb status Active to Active
